"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9FQ49QCB","book","2012","Kippenhahn, Rudolf; Weigert, Alfred; Weiss, Achim","Stellar Structure and Evolution","","978-3-642-30255-8 978-3-642-30304-3","","","http://link.springer.com/10.1007/978-3-642-30304-3","","2012","2021-10-21 16:10:12","2021-10-21 16:10:12","2021-10-21 16:10:12","","","","","","","","Astronomy and Astrophysics Library","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-30304-3","","/Users/cwilkinson/Zotero/storage/4UWSVV4I/Kippenhahn et al. - 2012 - Stellar Structure and Evolution.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AINMTT62","journalArticle","2020","","A new set of atmosphere and evolution models for cool T–Y brown dwarfs and giant exoplanets","Astronomy & Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/201937381","https://www.aanda.org/10.1051/0004-6361/201937381","We present a new set of solar metallicity atmosphere and evolutionary models for very cool brown dwarfs and self-luminous giant exoplanets, which we term ATMO 2020. Atmosphere models are generated with our state-of-the-art 1D radiative-convective equilibrium code ATMO, and are used as surface boundary conditions to calculate the interior structure and evolution of 0.001–0.075 M objects. Our models include several key improvements to the input physics used in previous models available in the literature. Most notably, the use of a new H–He equation of state including ab initio quantum molecular dynamics calculations has raised the mass by ∼1−2% at the stellar–substellar boundary and has altered the cooling tracks around the hydrogen and deuterium burning minimum masses. A second key improvement concerns updated molecular opacities in our atmosphere model ATMO, which now contains signiﬁcantly more line transitions required to accurately capture the opacity in these hot atmospheres. This leads to warmer atmospheric temperature structures, further changing the cooling curves and predicted emission spectra of substellar objects. We present signiﬁcant improvement for the treatment of the collisionally broadened potassium resonance doublet, and highlight the importance of these lines in shaping the red-optical and near-infrared spectrum of brown dwarfs. We generate three different grids of model simulations, one using equilibrium chemistry and two using non-equilibrium chemistry due to vertical mixing, all three computed self-consistently with the pressuretemperature structure of the atmosphere. We show the impact of vertical mixing on emission spectra and in colour-magnitude diagrams, highlighting how the 3.5−5.5 µm ﬂux window can be used to calibrate vertical mixing in cool T–Y spectral type objects.","2020-05","2021-10-21 16:11:54","2021-10-25 08:07:09","2021-10-21 16:11:54","A38","","","637","","A&A","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/66DJQ6BX/Phillips et al. - 2020 - A new set of atmosphere and evolution models for c.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8XTAV5Z","journalArticle","","Parmentier, Vivien","Thermal structure, composition, atmospheric dynamics and long-terme evolution of irradiated exoplanets","","","","","","","","2021-10-21 16:15:26","2021-10-21 16:15:26","","253","","","","","","","","","","","","","","","","","","Zotero","","","","/Users/cwilkinson/Zotero/storage/KT8HYXSN/Parmentier - Thermal structure, composition, atmospheric dynami.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBVXGNHK","journalArticle","2017","Fulton, Benjamin J.; Petigura, Erik A.; Howard, Andrew W.; Isaacson, Howard; Marcy, Geoffrey W.; Cargile, Phillip A.; Hebb, Leslie; Weiss, Lauren M.; Johnson, John Asher; Morton, Timothy D.; Sinukoff, Evan; Crossfield, Ian J. M.; Hirsch, Lea A.","The California- <i>Kepler</i> Survey. III. A Gap in the Radius Distribution of Small Planets","The Astronomical Journal","","1538-3881","10.3847/1538-3881/aa80eb","https://iopscience.iop.org/article/10.3847/1538-3881/aa80eb","","2017-08-24","2021-10-25 08:06:59","2021-10-25 08:06:59","2021-10-25 08:06:59","109","","3","154","","AJ","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/4QKJ4PRH/Fulton et al. - 2017 - The California- Kepler Survey. III. A Gap i.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACQCKGSP","journalArticle","2007","Seager, S.; Kuchner, M.; Hier‐Majumder, C. A.; Militzer, B.","Mass‐Radius Relationships for Solid Exoplanets","The Astrophysical Journal","","0004-637X, 1538-4357","10.1086/521346","https://iopscience.iop.org/article/10.1086/521346","","2007-11-10","2021-10-25 08:17:00","2021-10-25 08:17:01","2021-10-25 08:17:00","1279-1297","","2","669","","ApJ","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/8EJ8T4HW/Seager et al. - 2007 - Mass‐Radius Relationships for Solid Exoplanets.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YC7MJZZQ","journalArticle","2020","Turbet, Martin; Bolmont, Emeline; Ehrenreich, David; Gratier, Pierre; Leconte, Jérémy; Selsis, Franck; Hara, Nathan; Lovis, Christophe","Revised mass-radius relationships for water-rich rocky planets more irradiated than the runaway greenhouse limit","Astronomy & Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/201937151","https://www.aanda.org/10.1051/0004-6361/201937151","Mass-radius relationships for water-rich rocky planets are usually calculated assuming most water is present in condensed (either liquid or solid) form. Planet density estimates are then compared to these mass-radius relationships, even when these planets are more irradiated than the runaway greenhouse irradiation limit (around 1.1 times the insolation at Earth for planets orbiting a Sun-like star), for which water has been shown to be unstable in condensed form and would instead form a thick H2O-dominated atmosphere. Here we use a 1-D radiative-convective inverse version of the LMD generic numerical climate model to derive new theoretical mass-radius relationships appropriate for water-rich rocky planets that are more irradiated than the runaway greenhouse irradiation limit, meaning planets endowed with a steam, water-dominated atmosphere. As a result of the runaway greenhouse radius inﬂation effect introduced in previous work, these new mass-radius relationships signiﬁcantly differ from those traditionally used in the literature. For a given water-to-rock mass ratio, these new mass-radius relationships lead to planet bulk densities much lower than calculated when water is assumed to be in condensed form. In other words, using traditional mass-radius relationships for planets that are more irradiated than the runaway greenhouse irradiation limit tends to dramatically overestimate -possibly by several orders of magnitude- their bulk water content. In particular, this result applies to TRAPPIST-1 b, c, and d, which can accommodate a water mass fraction of at most 2, 0.3 and 0.08%, respectively, assuming planetary core with a terrestrial composition. In addition, we show that signiﬁcant changes of mass-radius relationships (between planets less and more irradiated than the runaway greenhouse limit) can be used to remove bulk composition degeneracies in multiplanetary systems such as TRAPPIST-1. Broadly speaking, our results demonstrate that nonH2/He-dominated atmospheres can have a ﬁrst-order effect on the mass-radius relationships, even for rocky planets receiving moderate irradiation. Finally, we provide an empirical formula for the H2O steam atmosphere thickness as a function of planet core gravity and radius, water content, and irradiation. This formula can easily be used to construct mass-radius relationships for any water-rich, rocky planet (i.e., with any kind of interior composition ranging from pure iron to pure silicate) more irradiated than the runaway greenhouse irradiation threshold.","2020-06","2021-10-26 14:27:46","2021-10-26 14:27:46","2021-10-26 14:27:46","A41","","","638","","A&A","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/3K4RQYGW/Turbet et al. - 2020 - Revised mass-radius relationships for water-rich r.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Q48FJMJ","journalArticle","2019","Turbet, Martin; Ehrenreich, David; Lovis, Christophe; Bolmont, Emeline; Fauchez, Thomas","The runaway greenhouse radius inflation effect: An observational diagnostic to probe water on Earth-sized planets and test the habitable zone concept","Astronomy & Astrophysics","","0004-6361, 1432-0746","10.1051/0004-6361/201935585","https://www.aanda.org/10.1051/0004-6361/201935585","Planets similar to Earth but slightly more irradiated are expected to enter into a runaway greenhouse state, where all surface water rapidly evaporates, forming an optically thick H2O-dominated atmosphere. For Earth, this extreme climate transition is thought to occur for an increase of only ∼6% in solar luminosity, though the exact limit at which the transition would occur is still a highly debated topic. In general, the runaway greenhouse is believed to be a fundamental process in the evolution of Earth-sized, temperate planets. Using 1D radiative-convective climate calculations accounting for thick, hot water vapor-dominated atmospheres, we evaluate the transit atmospheric thickness of a post-runaway greenhouse atmosphere, and ﬁnd that it could possibly reach over a thousand kilometers (i.e., a few tens of percent of the Earth’s radius). This abrupt radius inﬂation resulting from the runaway-greenhouse-induced transition could be detected statistically by ongoing and upcoming space missions. These include satellites such as TESS, CHEOPS, and PLATO combined with precise radial velocity mass measurements using ground-based spectrographs such as ESPRESSO, CARMENES, or SPIRou. This radius inﬂation could also be detected in multiplanetary systems such as TRAPPIST-1 once masses and radii are known with good enough precision. This result provides the community with an observational test of two points. The ﬁrst point is the concept of runaway greenhouse, which deﬁnes the inner edge of the traditional habitable zone, and the exact limit of the runaway greenhouse transition. In particular, this could provide an empirical measurement of the irradiation at which Earth analogs transition from a temperate to a runaway greenhouse climate state. This astronomical measurement would make it possible to statistically estimate how close Earth is from the runaway greenhouse. Second, it could be used as a test for the presence (and statistical abundance) of water in temperate, Earth-sized exoplanets.","2019-08","2021-10-26 14:36:28","2021-10-26 14:36:29","2021-10-26 14:36:28","A12","","","628","","A&A","The runaway greenhouse radius inflation effect","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/LRU53CVJ/Turbet et al. - 2019 - The runaway greenhouse radius inflation effect An.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MA6LRYXJ","journalArticle","2020","Mousis, Olivier; Deleuil, Magali; Aguichine, Artyom; Marcq, Emmanuel; Naar, Joseph; Aguirre, Lorena Acuña; Brugger, Bastien; Gonçalves, Thomas","Irradiated Ocean Planets Bridge Super-Earth and Sub-Neptune Populations","The Astrophysical Journal","","2041-8213","10.3847/2041-8213/ab9530","https://iopscience.iop.org/article/10.3847/2041-8213/ab9530","Small planets (∼1–3.9 RÅ) constitute more than half of the inventory of the 4000-plus exoplanets discovered so far. Smaller planets are sufﬁciently dense to be rocky, but those with radii larger than ∼1.6 RÅ are thought to display in many cases hydrogen/helium gaseous envelopes up to ∼30% of the planetary mass. These low-mass planets are highly irradiated and the question of their origin, evolution, and possible links remains open. Here we show that close-in ocean planets affected by the greenhouse effect display hydrospheres in supercritical state, which generate inﬂated atmospheres without invoking the presence of large hydrogen/helium gaseous envelopes. We present a new set of mass–radius relationships for ocean planets with different compositions and different equilibrium temperatures, which are found to be well adapted to low-density sub-Neptune planets. Our model suggests that super-Earths and water-rich sub-Neptunes could belong to the same family of planets, i.e., hydrogen/ helium-free planets, with differences between their interiors simply resulting from the variation in the water content.","2020-06-15","2021-10-26 14:37:53","2021-10-26 14:37:53","2021-10-26 14:37:53","L22","","2","896","","ApJ","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/J4A4VE7B/Mousis et al. - 2020 - Irradiated Ocean Planets Bridge Super-Earth and Su.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3SQGTUD","journalArticle","2021","Turbet, Martin; Bolmont, Emeline; Chaverot, Guillaume; Ehrenreich, David; Leconte, Jérémy; Marcq, Emmanuel","Day–night cloud asymmetry prevents early oceans on Venus but not on Earth","Nature","","0028-0836, 1476-4687","10.1038/s41586-021-03873-w","https://www.nature.com/articles/s41586-021-03873-w","","2021-10-14","2021-10-29 10:00:42","2021-10-29 10:00:42","2021-10-29 10:00:42","276-280","","7880","598","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/KE2J3LG2/Turbet et al. - 2021 - Day–night cloud asymmetry prevents early oceans on.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIY42Z4G","journalArticle","2021","Turbet, Martin; Bolmont, Emeline; Chaverot, Guillaume; Ehrenreich, David; Leconte, Jérémy; Marcq, Emmanuel","Day–night cloud asymmetry prevents early oceans on Venus but not on Earth","Nature","","0028-0836, 1476-4687","10.1038/s41586-021-03873-w","https://www.nature.com/articles/s41586-021-03873-w","","2021-10-14","2021-10-29 10:01:07","2021-10-29 10:01:07","2021-10-29 10:01:07","276-280","","7880","598","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/cwilkinson/Zotero/storage/DI6YMRJJ/Turbet et al. - 2021 - Day–night cloud asymmetry prevents early oceans on.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
